,Monthly Nominal GDP Index,Monthly Real GDP Index,,
2020 - Aug,21682.848,20538.396,,
2020 - Sep,21945.622,20764.225,,
2020 - Oct,22102.802,20872.279,,
2020 - Nov,21956.544,20684.439,,
2020 - Dec,22202.134,20822.881,,
2021 - Jan,22619.466,21111.224,,
2021 - Feb,22405.013,20838.792,,
2021 - Mar,23017.600,21300.601,,
2021 - Apr,23235.506,21403.522,,
2021 - May,23423.431,21437.728,,
2021 - June,23618.793,21485.441,,
2021 - July,23845.260,21595.403,,
2021 - Aug,23954.124,21568.599,,
2021 - Sep,24147.753,21693.139,,
2021 - Oct,24624.934,21945.236,,
2021 - Nov,24740.407,21896.835,,
2021 - Dec,25075.459,22128.203,,
2022 - Jan,25016.477,21895.942,,
2022 - Feb,25157.069,21869.746,,
2022 - Mar,25577.495,22036.532,,
2022 - Apr,25641.227,21992.251,,
2022 - May,25851.111,21966.935,,
2022 - Jun,26091.538,21946.157,,
2022 - Jul,26150.686,22043.934,,
2022 - Aug,26429.799,22195.124,,
2022 - Sep,26428.428,22142.153,,
2022 - Oct,26685.623,22231.721,,
2022 - Nov,26814.726,22278.588,,
2022 - Dec,26811.192,22329.142,,
2023 - Jan,27122.512,22427.945,,
2023 - Feb,27144.571,22361.526,,
2023 - Mar,27382.252,22533.290,,
2023 - Apr,27426.045,22514.546,,
2023 - May,27488.557,22574.506,,
2023 - Jun,27675.563,22656.121,,
2023 - Jul,27837.534,22746.373,,
2023 - Aug,28121.393,22871.276,,
2023 - Sep,28265.611,22909.058,,
2023 - Oct,28201.767,22848.946,,
2023 - Nov,28370.364,22992.392,,
2023 - Dec,28702.035,23263.328,,
2024 - Jan,28419.348,22928.962,,
2024 - Feb,28815.771,23164.252,,
2024 - Mar,28889.365,23156.455,,
2024 - Apr,29022.573,23187.822,,
2024 - May,29177.078,23334.121,,
2024 - Jun,29241.481,23340.882,,
2024 - Jul,29496.528,23497.297,,
2024 - Aug,29518.263,23495.795,,
2024 - Sep,29520.201,23445.903,,
2024 - Oct,29760.249,23552.618,,
2024 - Nov,29861.588,23636.718,,
2024 - Dec,29853.709,23573.701,,
2025 - Jan,29975.930,23553.617,,
2025 - Feb,30008.322,23503.213,,
2025 - Mar,30142.087,23590.860,,
2025 - Apr,30387.259,23760.058,,
2025 - May,30343.939,23672.172,,
2025 - Jun,30725.988,23883.267,,
2025 - Jul,30979.836,24008.829,,
2025 - Aug,31073.838,24013.921,,
2025 - Sep,31240.407,24060.133,,
2025 - Oct,31517.028,24183.512,,
2025 - Nov,31281.282,23950.092,,
2025 - Dec,31469.268,24035.968,,
2026 - Jan,31534.687,24046.171,,
2026 - Feb,31808.191,24150.254,,
2026 - Mar,32254.006,24347.543,,
2026 - Apr,32376.515,24303.037,,
2026 - May,32416.169,24200.385,,
2026 - Jun,32592.996,24318.669,,
