Date       Open	   High	  Low	    Close
6/13/2023	1812.09	1861.38	1812.09	1853.88
6/14/2023	1853.88	1891.24	1841.01	1856.16
6/15/2023	1856.16	1875.56	1848.52	1874.35
6/16/2023	1874.35	1874.35	1852.04	1859.45
6/20/2023	1859.45	1859.45	1824.39	1839.89
6/21/2023	1839.89	1856.17	1825.17	1848.34
6/22/2023	1848.34	1848.45	1832.98	1847.73
6/23/2023	1847.73	1847.73	1813.22	1827.77
6/26/2023	1827.77	1861.81	1827.77	1845.78
6/27/2023	1845.78	1879.43	1844.32	1874.87
6/28/2023	1874.87	1874.87	1836.75	1854.18
6/29/2023	1854.18	1891.57	1854.18	1889.7
6/30/2023	1889.7	1900.85	1880.38	1891.87
7/3/2023	1891.87	1925.67	1891.87	1915.48
7/5/2023	1915.48	1915.48	1871.07	1874.23
7/6/2023	1874.23	1874.23	1818.15	1844.9
7/7/2023	1844.9	1902.69	1844.9	1884.58
7/10/2023	1884.58	1896.11	1864.39	1890.6
7/11/2023	1890.6	1923.48	1890.6	1922.01
7/12/2023	1922.01	1981.99	1922.01	1960.22
7/13/2023	1960.22	1992.17	1960.22	1990.47
7/14/2023	1990.47	1992.39	1958.86	1973.26
7/17/2023	1973.26	1986.52	1957.51	1977.94
7/18/2023	1977.94	2003.93	1974.81	2001.98
7/19/2023	2001.98	2001.98	1971.74	1982.88
7/20/2023	1982.88	2003.01	1977.06	1985.23
7/21/2023	1985.23	2000.58	1979.27	1982.03
7/24/2023	1982.03	2049.71	1982.03	2031.42
7/25/2023	2031.42	2110.66	2031.42	2098.65
7/26/2023	2098.65	2098.65	2061.77	2083.55
7/27/2023	2083.55	2083.55	2038.21	2042.03
7/28/2023	2042.03	2056.91	2028.81	2045.41
7/31/2023	2045.41	2093.75	2045.41	2089.23
8/1/2023	2089.23	2089.23	2048.89	2063.96
8/2/2023	2063.96	2063.96	2001.37	2003.51
8/3/2023	2003.51	2007.4	1969.87	1986.67
8/4/2023	1986.67	2005.85	1972.57	1973.93
8/7/2023	1973.93	1980.91	1958.56	1975.95
8/8/2023	1975.94	1975.94	1932.04	1964.94
8/9/2023	1964.94	1973.53	1946.99	1949.94
8/10/2023	1928.26	1965.08	1921.72	1928.26
8/11/2023	1917.49	1929.7	1910.4	1917.49
8/14/2023	1960.94	1964.43	1914.66	1960.94
8/15/2023	1926.49	1960.94	1923.71	1926.49
8/16/2023	1921.45	1944.84	1918.49	1921.45
8/17/2023	1921.89	1958.64	1920.34	1921.89
8/18/2023	1921.89	1931.24	1904.88	1926.91
8/21/2023	1926.91	1935.07	1913.94	1925.65
8/22/2023	1925.65	1950.89	1925.65	1940.7
8/23/2023	1940.7	1958.53	1935.59	1947.68
8/24/2023	1947.68	1947.68	1917.92	1924
8/25/2023	1924	1940.05	1908.76	1930.1
8/28/2023	1930.1	1961.81	1930.1	1950.11
8/29/2023	1950.11	1997.58	1946.35	1997.13
8/30/2023	1997.13	2004.33	1989.53	1992.63
8/31/2023	1992.63	1997.38	1981.59	1986.29
9/1/2023	1986.29	2026.52	1986.29	2018.68
9/5/2023	2018.68	2018.68	1986.69	1993.66
9/6/2023	1993.66	2005.37	1960.67	1972.45
9/7/2023	1972.45	1972.45	1926.63	1941.06
9/8/2023	1941.06	1949.54	1931.18	1935.3
9/11/2023	1935.3	1970.81	1935.3	1948.09
9/12/2023	1948.09	1953.16	1932.89	1940.1
9/13/2023	1940.1	1941.51	1920.87	1929.66
9/14/2023	1929.66	1993.4	1929.66	1989.57
9/15/2023	1989.57	1996.59	1960.92	1965.11
9/18/2023	1965.11	1979.42	1959.32	1959.48
9/19/2023	1959.48	1977.34	1953.52	1961.19
9/20/2023	1961.19	1988.73	1954.57	1954.76
9/21/2023	1954.76	1954.76	1909.48	1909.75
9/22/2023	1909.75	1936.86	1909.75	1920.77
9/25/2023	1920.77	1920.77	1896.09	1918.57
9/26/2023	1918.57	1918.57	1887.34	1888.66
9/27/2023	1888.66	1924.81	1888.66	1914.32
9/28/2023	1914.32	1939.08	1914.32	1927.32
9/29/2023	1927.32	1947.27	1921.17	1926.43
10/2/2023	1926.43	1926.97	1890.21	1900.67
10/3/2023	1900.67	1900.67	1857.98	1869.11
10/4/2023	1869.11	1869.11	1840.3	1855.7
10/5/2023	1855.7	1861.74	1843.5	1853.32
10/6/2023	1853.32	1888.68	1844.82	1874.88
10/9/2023	1874.88	1883.36	1851.48	1876.63
10/10/2023	1876.63	1910.94	1876.63	1895.88
10/11/2023	1895.88	1914.65	1892.7	1908.73
10/12/2023	1908.73	1908.73	1844.46	1859.79
10/13/2023	1859.79	1872.18	1839.37	1846.19
10/16/2023	1846.19	1879.27	1846.19	1867.6
10/17/2023	1867.6	1889.14	1843.91	1880.34
10/18/2023	1880.34	1880.34	1818.31	1821.06
10/19/2023	1821.06	1828.82	1794.35	1799.25
10/20/2023	1799.25	1799.25	1762.5	1764.01
10/23/2023	1764.01	1783.1	1749.93	1763.87
10/24/2023	1763.87	1817.91	1763.87	1809.16
10/25/2023	1809.16	1810.2	1790.47	1796.23
10/26/2023	1796.23	1831.51	1796.23	1815.39
10/27/2023	1815.39	1840.76	1810.11	1827.37
10/30/2023	1827.37	1852.25	1827.37	1837.27
10/31/2023	1837.27	1851.79	1828.39	1844.13
11/1/2023	1844.13	1868.8	1835.11	1867.19
11/2/2023	1867.19	1926.82	1867.19	1922.64
11/3/2023	1922.64	1953.43	1922.64	1934.66
11/6/2023	1934.66	1968.88	1934.66	1963.68
11/7/2023	1963.68	1963.68	1918.98	1923.88
11/8/2023	1923.88	1930.79	1904.47	1912.68
11/9/2023	1912.68	1932.57	1900.37	1902.31
11/10/2023	1902.31	1927.96	1902.31	1927.08
11/13/2023	1927.08	1931.13	1916.71	1920.9
11/14/2023	1920.9	1997.71	1920.9	1989.9
11/15/2023	1989.9	2008.13	1983.58	1984.75
11/16/2023	1984.75	1988.5	1963.71	1980.12
11/17/2023	1980.12	2002.2	1980.12	1995.61
11/20/2023	1995.61	2027.68	1995.61	2015.42
11/21/2023	2015.42	2030.54	2015.42	2018.53
11/22/2023	2018.53	2018.53	1998.12	2008.64
11/24/2023	2008.64	2009.78	1996.65	2005.51
11/27/2023	2005.51	2019.61	2001.03	2016.8
11/28/2023	2016.8	2037.53	2013.72	2024.53
11/29/2023	2024.53	2034.29	2016.73	2023.36
11/30/2023	2023.36	2046.55	2023.36	2045.77
12/1/2023	2045.77	2095.95	2045.77	2086.36
12/4/2023	2086.36	2086.36	2054.67	2059.75
12/5/2023	2059.75	2059.75	2020.5	2029.1
12/6/2023	2029.1	2054.22	2012.81	2013.32
12/7/2023	2013.32	2028.82	2013.32	2023.97
12/8/2023	2023.97	2047.12	2013.62	2023.34
12/11/2023	2023.34	2033.95	2004.44	2030.57
12/12/2023	2030.57	2033.61	2011	2021.74
12/13/2023	2021.74	2072.02	2011.1	2067.98
12/14/2023	2067.98	2117.94	2067.98	2111.25
12/15/2023	2111.25	2139.23	2110.91	2120.28
12/18/2023	2120.28	2208.07	2120.28	2187.81
12/19/2023	2187.81	2223.31	2187.81	2219.51
12/20/2023	2219.51	2227.9	2189.26	2189.26
12/21/2023	2189.26	2229.72	2189.26	2228.38
12/22/2023	2228.38	2244.82	2227.54	2235.05
12/26/2023	2235.05	2251.98	2235.05	2246.41
12/27/2023	2246.41	2263.45	2246.41	2256.57
12/28/2023	2256.57	2257.78	2238.65	2241.76
12/29/2023	2241.76	2241.76	2217.82	2224.19
1/2/2024	2224.19	2229.74	2193.41	2203.95
1/3/2024	2203.95	2205.99	2168.53	2187.01
1/4/2024	2187.01	2189.67	2169.03	2169.62
1/5/2024	2169.62	2185.43	2158.14	2165.68
1/8/2024	2165.68	2179.01	2139.77	2178.35
1/9/2024	2178.35	2178.35	2112.94	2114.21
1/10/2024	2114.21	2114.21	2094.37	2108.76
1/11/2024	2108.76	2115.76	2088.96	2105.83
1/12/2024	2105.83	2131.36	2100.85	2110.58
1/16/2024	2110.58	2110.58	2063	2067.95
1/17/2024	2067.95	2067.95	2035.22	2046.94
1/18/2024	2046.94	2067.11	2045.76	2067
1/19/2024	2067	2067.59	2044.32	2064.22
1/22/2024	2064.22	2069.47	2045.14	2065.03
1/23/2024	2065.03	2099.1	2065.03	2078.3
1/24/2024	2078.3	2118.02	2078.3	2093.5
1/25/2024	2093.5	2099.41	2070.82	2082.8
1/26/2024	2082.8	2111.46	2082.8	2101.61
1/29/2024	2101.61	2109.27	2079.87	2108.46
1/30/2024	2108.46	2128.61	2090.96	2125.46
1/31/2024	2125.46	2136	2093.07	2093.22
2/1/2024	2093.22	2111.18	2087.92	2101.09
2/2/2024	2101.09	2101.09	2079.09	2083.8
2/5/2024	2083.8	2083.8	2039.51	2056.26
2/6/2024	2056.26	2080.48	2056.26	2074.48
2/7/2024	2074.48	2105.64	2074.48	2103.15
2/8/2024	2103.15	2103.15	2089.64	2099.89
2/9/2024	2099.89	2111.54	2091.58	2107.85
2/12/2024	2107.85	2129.14	2107.85	2113.57
2/13/2024	2113.57	2113.57	2035.53	2047.57
2/14/2024	2047.57	2086.02	2047.57	2080.31
2/15/2024	2080.31	2129.65	2077.38	2129.65
2/16/2024	2129.65	2162.62	2129.65	2137
2/20/2024	2137	2137	2089.25	2096.1
2/21/2024	2096.1	2103.15	2079.5	2098.06
