Date,Open,High,Low,Close
2013-12-09,1321.65,1336.02,1321.46,1333.91
2013-12-10,1334.10,1338.90,1324.27,1326.02
2013-12-11,1323.79,1323.79,1293.20,1295.59
2013-12-12,1296.42,1296.42,1281.31,1290.04
2013-12-13,1293.93,1299.52,1291.95,1298.07
2013-12-16,1303.87,1313.22,1303.11,1309.94
2013-12-17,1312.88,1316.49,1305.28,1310.60
2013-12-18,1311.73,1329.69,1300.95,1324.46
2013-12-19,1323.97,1344.63,1323.50,1338.86
2013-12-20,1339.09,1339.28,1321.31,1321.31
2013-12-23,1321.31,1342.43,1321.31,1340.77
2013-12-24,1340.88,1360.01,1340.35,1355.70
2013-12-26,1356.92,1364.29,1355.21,1356.39
2013-12-27,1363.20,1378.72,1361.40,1378.72
2013-12-30,1379.09,1386.24,1373.06,1375.22
2013-12-31,1376.02,1384.32,1375.03,1380.24
2014-01-02,1367.98,1367.98,1345.11,1351.28
2014-01-03,1354.01,1356.31,1341.91,1347.58
2014-01-06,1341.62,1341.62,1323.96,1327.56
2014-01-07,1331.98,1333.63,1317.98,1320.55
2014-01-08,1320.78,1323.72,1314.02,1318.59
2014-01-09,1317.11,1317.34,1298.89,1302.84
2014-01-10,1307.37,1316.42,1307.37,1315.54
2014-01-13,1315.28,1321.88,1296.53,1300.34
2014-01-14,1304.98,1314.17,1301.62,1314.09
2014-01-15,1316.05,1327.46,1316.05,1324.65
2014-01-16,1341.34,1345.59,1329.91,1331.24
2014-01-17,1338.15,1339.87,1324.31,1327.06
2014-01-21,1313.79,1316.65,1294.77,1300.16
2014-01-22,1304.55,1307.49,1298.92,1304.11
2014-01-23,1303.70,1303.70,1279.01,1285.16
2014-01-24,1276.04,1276.04,1237.17,1237.44
2014-01-27,1244.44,1247.71,1217.56,1232.18
2014-01-28,1251.19,1257.25,1246.28,1256.83
2014-01-29,1245.79,1264.95,1235.94,1250.58
2014-01-30,1263.91,1266.21,1249.07,1261.16
2014-01-31,1249.94,1266.30,1241.15,1254.55
2014-02-03,1253.89,1254.80,1209.92,1210.61
2014-02-04,1210.61,1233.54,1210.61,1229.62
2014-02-05,1231.00,1238.63,1223.28,1234.04
2014-02-06,1243.77,1270.82,1243.77,1269.54
2014-02-07,1277.20,1281.23,1263.58,1279.92
2014-02-10,1273.85,1273.85,1256.20,1258.93
2014-02-11,1265.16,1292.98,1264.89,1290.66
2014-02-12,1298.83,1302.59,1291.56,1294.57
2014-02-13,1285.56,1305.96,1284.19,1305.38
2014-02-14,1309.80,1326.55,1308.76,1324.50
2014-02-18,1320.95,1321.53,1310.58,1310.82
