rpctr.lg,rgdp.lg,lbrshr.lg,capult.lg,rpce.ilg,tnyrint,debtidx.lg
30.391,37.194,4.205,4.310,32.201,4.570,4.693
30.398,37.196,4.208,4.302,32.196,4.650,4.671
30.408,37.198,4.209,4.299,32.192,5.090,4.662
30.420,37.201,4.206,4.305,32.194,5.040,4.663
30.422,37.204,4.205,4.303,32.199,4.910,4.664
30.420,37.207,4.207,4.309,32.200,5.280,4.648
30.436,37.208,4.206,4.313,32.208,5.210,4.659
30.440,37.210,4.206,4.317,32.204,5.160,4.659
30.439,37.212,4.208,4.324,32.207,4.930,4.665
30.441,37.213,4.205,4.324,32.214,4.650,4.674
30.443,37.214,4.206,4.323,32.216,4.260,4.685
30.447,37.215,4.206,4.324,32.211,3.870,4.698
30.448,37.215,4.205,4.321,32.215,3.940,4.687
30.449,37.215,4.203,4.327,32.217,4.050,4.677
30.455,37.217,4.201,4.322,32.223,4.030,4.690
30.458,37.219,4.200,4.330,32.224,4.050,4.686
30.459,37.221,4.201,4.332,32.223,3.900,4.693
30.463,37.223,4.203,4.330,32.230,3.810,4.687
30.465,37.225,4.204,4.324,32.233,3.960,4.687
30.471,37.229,4.206,4.324,32.233,3.570,4.701
30.475,37.234,4.206,4.325,32.238,3.330,4.694
30.479,37.241,4.205,4.331,32.243,3.980,4.664
30.483,37.246,4.205,4.329,32.254,4.450,4.664
30.485,37.251,4.206,4.336,32.252,4.270,4.679
30.478,37.255,4.209,4.337,32.252,4.290,4.667
30.477,37.258,4.209,4.344,32.256,4.300,4.664
30.486,37.260,4.206,4.345,32.258,4.270,4.667
30.495,37.261,4.206,4.346,32.263,4.150,4.670
30.503,37.263,4.203,4.353,32.264,4.080,4.675
30.506,37.265,4.203,4.349,32.269,3.830,4.676
30.508,37.268,4.205,4.353,32.267,4.350,4.652
30.509,37.271,4.207,4.361,32.273,4.720,4.649
30.509,37.274,4.207,4.353,32.268,4.730,4.649
30.502,37.277,4.212,4.361,32.276,4.500,4.651
30.513,37.280,4.213,4.361,32.278,4.280,4.661
30.511,37.284,4.213,4.363,32.284,4.130,4.659
30.511,37.287,4.212,4.371,32.288,4.100,4.662
30.512,37.290,4.211,4.373,32.291,4.190,4.650
30.518,37.294,4.181,4.380,32.295,4.230,4.654
30.526,37.299,4.211,4.383,32.292,4.220,4.656
30.533,37.302,4.210,4.390,32.296,4.170,4.647
30.534,37.304,4.206,4.387,32.299,4.500,4.643
30.540,37.305,4.205,4.388,32.306,4.340,4.652
30.539,37.306,4.203,4.388,32.303,4.140,4.657
30.537,37.309,4.205,4.391,32.309,4.000,4.659
30.530,37.312,4.208,4.387,32.317,4.180,4.646
30.544,37.315,4.205,4.388,32.314,4.260,4.654
30.545,37.316,4.204,4.367,32.316,4.200,4.644
30.540,37.317,4.201,4.378,32.318,4.460,4.635
30.540,37.319,4.199,4.388,32.316,4.540,4.634
30.537,37.324,4.199,4.391,32.318,4.470,4.639
30.571,37.330,4.196,4.391,32.326,4.420,4.635
30.564,37.334,4.198,4.390,32.326,4.570,4.633
30.566,37.336,4.195,4.391,32.327,4.720,4.622
30.565,37.336,4.193,4.392,32.331,4.990,4.618
30.569,37.336,4.188,4.391,32.332,5.110,4.615
30.572,37.336,4.187,4.392,32.332,5.110,4.614
30.576,37.336,4.188,4.390,32.339,5.090,4.620
30.579,37.337,4.188,4.392,32.337,4.880,4.627
30.578,37.340,4.190,4.388,32.339,4.720,4.630
30.573,37.344,4.193,4.384,32.341,4.730,4.630
30.574,37.346,4.195,4.382,32.340,4.600,4.635
30.585,37.348,4.196,4.390,32.347,4.560,4.627
30.605,37.348,4.199,4.384,32.348,4.760,4.624
30.610,37.349,4.199,4.391,32.347,4.720,4.632
30.610,37.350,4.195,4.390,32.349,4.560,4.629
30.603,37.353,4.191,4.395,32.351,4.690,4.630
30.602,37.355,4.187,4.394,32.353,4.750,4.621
30.600,37.357,4.188,4.392,32.353,5.100,4.617
30.602,37.358,4.187,4.389,32.356,5.000,4.627
30.607,37.361,4.186,4.390,32.359,4.670,4.633
30.614,37.363,4.187,4.392,32.362,4.520,4.635
30.615,37.367,4.187,4.389,32.365,4.530,4.638
30.618,37.368,4.189,4.395,32.371,4.150,4.658
30.628,37.367,4.188,4.396,32.372,4.100,4.655
