rwshr.lg,gdpdf.lg,urint.lg,capult.lg,ff,lbrprd.lg,fsi,ip.lg,ppi.lg
4.13,4.508,8.238,4.319,0.16,5.559,-0.434,4.534,5.277
4.129,4.51,8.282,4.329,0.14,5.559,-0.316,4.544,5.294
4.127,4.512,8.283,4.326,0.1,5.559,-0.402,4.541,5.314
4.126,4.514,8.295,4.326,0.09,5.559,-0.394,4.542,5.319
4.126,4.517,8.314,4.329,0.09,5.559,-0.192,4.545,5.318
4.128,4.519,8.323,4.333,0.07,5.559,-0.125,4.55,5.321
4.125,4.521,8.318,4.338,0.1,5.559,0.73,4.557,5.314
4.123,4.521,8.315,4.336,0.08,5.559,0.859,4.556,5.317
4.118,4.521,8.25,4.341,0.07,5.559,0.869,4.563,5.304
4.113,4.521,8.265,4.34,0.08,5.559,0.584,4.563,5.305
4.113,4.523,8.258,4.343,0.07,5.559,0.538,4.568,5.297
4.121,4.526,8.229,4.347,0.08,5.559,0.433,4.574,5.302
4.122,4.528,8.217,4.349,0.1,5.559,0.068,4.577,5.306
4.121,4.529,8.194,4.341,0.13,5.559,-0.123,4.572,5.319
4.118,4.53,8.192,4.347,0.14,5.559,-0.091,4.579,5.317
4.116,4.531,8.202,4.347,0.16,5.559,0.144,4.582,5.308
4.118,4.533,8.22,4.345,0.16,5.559,0.121,4.582,5.297
4.124,4.535,8.194,4.346,0.16,5.559,0.04,4.584,5.299
4.126,4.537,8.19,4.34,0.13,5.559,-0.256,4.579,5.312
4.126,4.539,8.157,4.337,0.14,5.559,-0.41,4.579,5.32
4.121,4.541,8.152,4.339,0.16,5.559,-0.264,4.582,5.316
4.12,4.542,8.124,4.341,0.16,5.559,-0.384,4.586,5.307
4.108,4.544,8.113,4.342,0.16,5.559,-0.435,4.588,5.306
4.142,4.545,8.071,4.341,0.14,5.559,-0.49,4.588,5.311
4.14,4.546,8.055,4.344,0.15,5.559,-0.575,4.593,5.32
4.139,4.547,8.045,4.347,0.14,5.559,-0.547,4.597,5.318
4.141,4.547,8.045,4.345,0.15,5.559,-0.498,4.596,5.316
4.14,4.548,8.04,4.344,0.11,5.559,-0.584,4.597,5.319
4.141,4.549,8.029,4.345,0.09,5.559,-0.369,4.599,5.32
4.138,4.551,8.026,4.341,0.09,5.559,-0.475,4.596,5.32
4.138,4.553,8.02,4.346,0.08,5.559,-0.714,4.602,5.319
4.136,4.555,8.015,4.35,0.08,5.559,-0.602,4.607,5.318
4.14,4.557,7.951,4.349,0.09,5.559,-0.671,4.606,5.311
4.142,4.558,7.951,4.35,0.08,5.559,-0.849,4.608,5.304
4.144,4.56,7.919,4.351,0.09,5.559,-0.917,4.61,5.308
4.144,4.561,7.864,4.347,0.07,5.559,-0.863,4.607,5.317
