Series,Year,Period,Value
CEU3200000035,1971,M02,25.7
CEU3200000035,1971,M03,25.9
CEU3200000035,1971,M04,26.1
CEU3200000035,1971,M05,26.6
CEU3200000035,1971,M06,27.2
CEU3200000035,1971,M07,27.1
CEU3200000035,1971,M08,28
CEU3200000035,1971,M09,28.5
CEU3200000035,1971,M10,27.9
CEU3200000035,1971,M11,27.9
CEU3200000035,1971,M12,28.5
CEU3200000035,1972,M01,28
CEU3200000035,1972,M02,28.3
CEU3200000035,1972,M03,28.8
CEU3200000035,1972,M04,29
CEU3200000035,1972,M05,29.3
CEU3200000035,1972,M06,30.3
CEU3200000035,1972,M07,29.9
CEU3200000035,1972,M08,31
CEU3200000035,1972,M09,31.6
CEU3200000035,1972,M10,31.3
CEU3200000035,1972,M11,31.5
CEU3200000035,1972,M12,31.6
CEU3200000035,1973,M01,30.5
CEU3200000035,1973,M02,31
CEU3200000035,1973,M03,31.5
CEU3200000035,1973,M04,31.5
CEU3200000035,1973,M05,31.7
CEU3200000035,1973,M06,32.6
CEU3200000035,1973,M07,32.3
CEU3200000035,1973,M08,33.5
CEU3200000035,1973,M09,34.1
CEU3200000035,1973,M10,34
CEU3200000035,1973,M11,34.2
CEU3200000035,1973,M12,34.2
CEU3200000035,1974,M01,33.1
CEU3200000035,1974,M02,33.1
CEU3200000035,1974,M03,33.3
CEU3200000035,1974,M04,32.5
CEU3200000035,1974,M05,33.8
CEU3200000035,1974,M06,35.1
CEU3200000035,1974,M07,34.8
CEU3200000035,1974,M08,36.2
CEU3200000035,1974,M09,36.4
CEU3200000035,1974,M10,35.6
CEU3200000035,1974,M11,34.7
CEU3200000035,1974,M12,34
CEU3200000035,1975,M01,32
CEU3200000035,1975,M02,31.4
CEU3200000035,1975,M03,31.6
CEU3200000035,1975,M04,31.8
CEU3200000035,1975,M05,32.7
CEU3200000035,1975,M06,34.1
CEU3200000035,1975,M07,34.2
CEU3200000035,1975,M08,36.4
CEU3200000035,1975,M09,37.4
CEU3200000035,1975,M10,37.4
CEU3200000035,1975,M11,37.5
CEU3200000035,1975,M12,38
CEU3200000035,1976,M01,37.4
CEU3200000035,1976,M02,37.5
CEU3200000035,1976,M03,37.9
CEU3200000035,1976,M04,37.5
CEU3200000035,1976,M05,38.1
CEU3200000035,1976,M06,39
CEU3200000035,1976,M07,39
CEU3200000035,1976,M08,40.3
CEU3200000035,1976,M09,41.8
CEU3200000035,1976,M10,41
CEU3200000035,1976,M11,41.3
CEU3200000035,1976,M12,41.5
CEU3200000035,1977,M01,40.1
CEU3200000035,1977,M02,41.1
CEU3200000035,1977,M03,41.6
CEU3200000035,1977,M04,42
