ceaindx.lg,urint.lg,wgshr.lg,ppicty.lg,ffds.ts
4.152141661,6.661021036,4.218542626,4.757891273,8.13
4.152141661,6.711767733,4.2191326,4.774068722,8.2
4.15261347,6.695507212,4.217247996,4.794136286,8.11
4.151669629,6.761364674,4.217479179,4.788324729,7.81
4.151512235,6.785397187,4.218631755,4.776599302,7.31
4.151512235,6.776852851,4.216822301,4.779123493,6.91
4.150094577,6.847790552,4.215729457,4.763881877,6.25
4.148832748,6.893268833,4.216261147,4.755312844,6.12
4.148674907,6.923916121,4.214203302,4.753590191,5.91
4.148359151,6.907867632,4.214524275,4.757891273,5.78
4.14930612,6.968036154,4.218041562,4.757032535,5.9
4.150724896,6.960710114,4.216690661,4.754451889,5.82
4.151512235,6.982529161,4.217482185,4.755312844,5.66
4.152927886,6.98969765,4.218750792,4.754451889,5.45
4.154027564,7.032257265,4.215077468,4.757032535,5.21
4.154969184,7.059656239,4.216981145,4.757032535,4.81
4.154969184,7.141360767,4.216482919,4.75272775,4.43
4.156693187,7.185812529,4.214669794,4.750135956,4.03
4.157162855,7.236007629,4.219153262,4.753590191,4.06
4.159195535,7.259677373,4.219283385,4.754451889,3.98
4.161379964,7.277069116,4.216143713,4.75617306,3.73
4.16262607,7.326465614,4.216077329,4.763881877,3.82
4.164181522,7.374664237,4.214688428,4.770684624,3.76
4.166510173,7.356251176,4.214240185,4.769836808,3.25
4.169142772,7.337638914,4.215691801,4.768139014,3.3
4.170688129,7.343179095,4.213502698,4.770684624,3.22
4.17438727,7.346155179,4.206583722,4.771531723,3.1
4.175924549,7.305399622,4.209246513,4.768988271,3.09
4.178838885,7.365037889,4.223530334,4.767289035,2.92
4.182202803,7.313894317,4.21017297,4.770684624,3.02
4.186315841,7.280635287,4.21249171,4.774068722,3.03
4.187834905,7.23292796,4.210085674,4.776599302,3.07
4.190412031,7.247112595,4.212434267,4.781641329,2.96
4.193133532,7.241414574,4.212889347,4.784988613,3
4.196449785,7.244227516,4.210552537,4.783316371,3.04
4.199905058,7.22420496,4.212634696,4.780802755,3.06
4.202899969,7.226413279,4.214952392,4.776599302,3.03
4.206333064,7.217138374,4.212880344,4.776599302,3.09
4.208565706,7.23195346,4.210232806,4.779963476,2.99
4.212720015,7.229350139,4.207843862,4.779123493,3.02
4.216709677,7.197822146,4.222800213,4.775756487,2.96
4.219360636,7.229350139,4.212071289,4.779963476,3.05
4.222591182,7.250627537,4.210738751,4.781641329,3.25
4.22697972,7.235360065,4.21124551,4.784988613,3.34
4.231058386,7.219855879,4.213631454,4.784988613,3.56
4.235844124,7.197822146,4.213884529,4.786658062,4.01
4.239598642,7.16126455,4.212453948,4.791649753,4.25
4.243339115,7.17184666,4.213493455,4.793308128,4.26
4.247351731,7.144735248,4.211759716,4.797442074,4.47
4.251205851,7.122594784,4.21150453,4.795790546,4.73
4.254619309,7.137081923,4.210126759,4.794963758,4.76
4.259293869,7.032257265,4.207316209,4.799914263,5.29
4.263102323,7.003065459,4.205863828,4.803201036,5.45
4.26633516,6.98096397,4.204817377,4.811371017,5.53
4.269977131,6.938731207,4.204327918,4.816241156,5.92
4.27290907,6.956224364,4.203360978,4.819474789,5.98
4.273745191,7.044875729,4.204305279,4.825108606,6.05
4.27652722,6.975098851,4.200967907,4.827513417,6.01
4.278885876,6.908204616,4.201581887,4.830710862,6
4.280547466,6.962945465,4.201859542,4.830710862,5.85
4.283310662,6.944596326,4.200706322,4.829113417,5.74
4.28661645,6.926896749,4.200621574,4.829912459,5.8
4.28936295,6.896455724,4.200981086,4.830710862,5.76
4.291281021,6.939166842,4.200657551,4.831508628,5.8
